region_clean,tasa_mortalidad,swaroop_index,poblacion,defunciones,zona
Aisén del General Carlos Ibáñez del Campo,5.01,83.49,106680.0,534,South
Antofagasta,4.62,87.75,668563.0,3088,North
Arica y Parinacota,5.33,87.77,247036.0,1317,North
Atacama,5.02,89.88,311307.0,1564,North
Bío-Bío,6.0,91.43,1654744.0,9931,South
Coquimbo,5.48,90.95,821726.0,4500,North
La Araucanía,6.8,90.71,1007965.0,6851,South
Libertador General Bernardo O'Higgins,5.97,89.98,978868.0,5841,Center
Los Lagos,5.9,88.81,884464.0,5217,South
Los Ríos,6.64,89.5,403413.0,2677,South
Magallanes y de la Antártica Chilena,6.57,87.98,175984.0,1156,South
Maule,6.13,90.61,1118947.0,6861,Center
Región Metropolitana de Santiago,5.29,89.98,7915199.0,41866,Center
Tarapacá,4.16,84.59,368906.0,1535,North
Valparaíso,6.85,91.95,1935455.0,13264,Center
Ñuble,6.8,92.07,507959.0,3455,South
