region_clean,tasa_mortalidad,establecimientos_per_100k,poblacion,defunciones,zona,num_establecimientos
Aisén del General Carlos Ibáñez del Campo,6.43,57.38,108047.0,695,South,62
Antofagasta,5.29,24.1,709637.0,3752,North,171
Arica y Parinacota,7.23,48.11,257722.0,1863,North,124
Atacama,6.23,48.74,318004.0,1981,North,155
Bío-Bío,7.63,25.89,1676269.0,12785,South,434
Coquimbo,6.86,56.48,858769.0,5892,North,485
La Araucanía,8.31,44.43,1024029.0,8511,South,455
Libertador General Bernardo O'Higgins,7.45,27.14,1009552.0,7520,Center,274
Los Lagos,7.94,47.87,902510.0,7163,South,432
Los Ríos,8.91,49.57,409559.0,3648,South,203
Magallanes y de la Antártica Chilena,6.92,32.57,181143.0,1254,South,59
Maule,7.78,44.32,1153043.0,8967,Center,511
Región Metropolitana de Santiago,6.01,12.62,8310984.0,49967,Center,1049
Tarapacá,4.98,24.96,396697.0,1975,North,99
Valparaíso,8.25,20.6,1995538.0,16473,Center,411
Ñuble,8.75,31.14,517060.0,4524,South,161
